idx,parent,sibling,depth,retired,done,t_entry,t_exit,cx0,cx1,cx2,cx3,hw0,hw1,hw2,hw3
437,218,438,8,0,1,6.23586,18.8496,0.500437,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
438,218,437,8,0,1,6.23586,18.8496,0.500437,0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
439,219,440,8,0,1,6.22444,18.8496,0.500313,-0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
440,219,439,8,0,1,6.22444,18.8496,0.500313,0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
441,220,442,8,0,1,6.22594,18.8496,0.500313,-0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
442,220,441,8,0,1,6.22594,18.8496,0.500313,0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
443,221,444,8,0,1,6.24456,18.8496,0.500437,-0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
444,221,443,8,0,1,6.24456,18.8496,0.500437,0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
445,222,446,8,0,1,6.23035,18.8496,0.500437,-0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
446,222,445,8,0,1,6.23035,18.8496,0.500437,0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
447,223,448,8,0,1,6.19812,18.8496,0.500562,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
448,223,447,8,0,1,6.19812,18.8496,0.500562,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
449,224,450,8,0,1,6.21783,18.8496,0.500562,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
450,224,449,8,0,1,6.21783,18.8496,0.500562,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
451,225,452,8,0,1,6.21192,18.8496,0.500687,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
452,225,451,8,0,1,6.21192,18.8496,0.500687,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
453,226,454,8,0,1,6.22324,18.8496,0.500687,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
454,226,453,8,0,1,6.22324,18.8496,0.500687,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
455,227,456,8,0,1,6.21226,18.8496,0.500562,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
456,227,455,8,0,1,6.21226,18.8496,0.500562,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
457,228,458,8,0,1,6.22588,18.8496,0.500562,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
458,228,457,8,0,1,6.22588,18.8496,0.500562,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
459,229,460,8,0,1,6.23856,18.8496,0.500687,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
460,229,459,8,0,1,6.23856,18.8496,0.500687,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
461,230,462,8,0,1,6.23804,18.8496,0.500687,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
462,230,461,8,0,1,6.23804,18.8496,0.500687,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
463,231,464,8,0,1,6.22671,18.8496,0.500812,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
464,231,463,8,0,1,6.22671,18.8496,0.500812,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
465,232,466,8,0,1,6.2135,18.8496,0.500812,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
466,232,465,8,0,1,6.2135,18.8496,0.500812,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
467,233,468,8,0,1,6.2297,18.8496,0.500937,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
468,233,467,8,0,1,6.2297,18.8496,0.500937,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
469,234,470,8,0,1,6.24009,18.8496,0.500937,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
470,234,469,8,0,1,6.24009,18.8496,0.500937,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
471,235,472,8,0,1,6.21739,18.8496,0.500812,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
472,235,471,8,0,1,6.21739,18.8496,0.500812,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
473,236,474,8,0,1,6.23903,18.8496,0.500812,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
474,236,473,8,0,1,6.23903,18.8496,0.500812,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
475,237,476,8,0,1,6.23921,18.8496,0.500937,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
476,237,475,8,0,1,6.23921,18.8496,0.500937,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
477,238,478,8,0,1,6.24307,18.8496,0.500937,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
478,238,477,8,0,1,6.24307,18.8496,0.500937,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
479,239,480,8,0,1,6.22507,18.8496,0.500562,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
480,239,479,8,0,1,6.22507,18.8496,0.500562,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
481,240,482,8,0,1,6.24288,18.8496,0.500562,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
